movieId,title,imdbId
1,Toy Story (1995),tt0114709
2,Jumanji (1995),tt0113497
3,Grumpier Old Men (1995),tt0113228
4,Waiting to Exhale (1995),tt0114885
5,Father of the Bride Part II (1995),tt0113041
6,Heat (1995),tt0113277
7,Sabrina (1995),tt0114319
8,Tom and Huck (1995),tt0112302
9,Sudden Death (1995),tt0114576
10,GoldenEye (1995),tt0113189
11,"American President, The (1995)",tt0112346
12,Dracula: Dead and Loving It (1995),tt0112896
13,Balto (1995),tt0112453
14,Nixon (1995),tt0113987
15,Cutthroat Island (1995),tt0112760
16,Casino (1995),tt0112641
17,Sense and Sensibility (1995),tt0114388
18,Four Rooms (1995),tt0113101
19,Ace Ventura: When Nature Calls (1995),tt0112281
20,Money Train (1995),tt0113845
21,Get Shorty (1995),tt0113161
22,Copycat (1995),tt0112722
23,Assassins (1995),tt0112401
24,Powder (1995),tt0114168
25,Leaving Las Vegas (1995),tt0113627
26,Othello (1995),tt0114057
27,Now and Then (1995),tt0114011
28,Persuasion (1995),tt0114117
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",tt0112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),tt0115012
31,Dangerous Minds (1995),tt0112792
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),tt0114746
33,Wings of Courage (1995),tt0114952
34,Babe (1995),tt0112431
35,Carrington (1995),tt0112637
36,Dead Man Walking (1995),tt0112818
37,Across the Sea of Time (1995),tt0112286
38,It Takes Two (1995),tt0113442
39,Clueless (1995),tt0112697
40,"Cry, the Beloved Country (1995)",tt0112749
41,Richard III (1995),tt0114279
42,Dead Presidents (1995),tt0112819
43,Restoration (1995),tt0114272
44,Mortal Kombat (1995),tt0113855
45,To Die For (1995),tt0114681
46,How to Make an American Quilt (1995),tt0113347
47,Seven (a.k.a. Se7en) (1995),tt0114369
48,Pocahontas (1995),tt0114148
49,When Night Is Falling (1995),tt0114916
50,"Usual Suspects, The (1995)",tt0114814
51,Guardian Angel (1994),tt0109950
52,Mighty Aphrodite (1995),tt0113819
53,Lamerica (1994),tt0110299
54,"Big Green, The (1995)",tt0112499
55,Georgia (1995),tt0113158
56,Kids of the Round Table (1995),tt0113541
57,Home for the Holidays (1995),tt0113321
58,"Postman, The (Postino, Il) (1994)",tt0110877
59,"Confessional, The (Confessionnal, Le) (1995)",tt0112714
60,"Indian in the Cupboard, The (1995)",tt0113419
61,Eye for an Eye (1996),tt0116260
62,Mr. Holland's Opus (1995),tt0113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),tt0116126
64,Two if by Sea (1996),tt0118002
65,Bio-Dome (1996),tt0115683
